Hardware,Track,Chrome Vers.,ChromeOS Vers.,AppID
Acer 15.6-inch Chromebook,beta-channel,54.0.2840.24,8743.25.0,4D1D08CA-E0D4-5ECB-09D2-13DD5859A362
Acer 15.6-inch Chromebook,dev-channel,55.0.2858.0,8798.0.0,4D1D08CA-E0D4-5ECB-09D2-13DD5859A362
Acer 15.6-inch Chromebook,stable-channel,53.0.2785.103,8530.81.0,4D1D08CA-E0D4-5ECB-09D2-13DD5859A362
Acer AC700,beta-channel,54.0.2840.24,8743.25.0,23F5C60F-7655-4BF4-90FB-BFDE16408308
Acer AC700,dev-channel,55.0.2858.0,8798.0.0,23F5C60F-7655-4BF4-90FB-BFDE16408308
Acer AC700,stable-channel,53.0.2785.103,8530.81.0,23F5C60F-7655-4BF4-90FB-BFDE16408308
Acer C720 Chromebook,beta-channel,54.0.2840.24,8743.25.0,E6710DFC-3EC0-42AE-8095-733FDEA6AF18
Acer C720 Chromebook,dev-channel,55.0.2858.0,8798.0.0,E6710DFC-3EC0-42AE-8095-733FDEA6AF18
Acer C720 Chromebook,stable-channel,53.0.2785.103,8530.81.0,E6710DFC-3EC0-42AE-8095-733FDEA6AF18
Acer C740 Chromebook,beta-channel,54.0.2840.24,8743.25.0,0AA3F9E1-A088-9252-50B8-5A1345D09AEB
Acer C740 Chromebook,dev-channel,55.0.2858.0,8798.0.0,0AA3F9E1-A088-9252-50B8-5A1345D09AEB
Acer C740 Chromebook,stable-channel,53.0.2785.103,8530.81.0,0AA3F9E1-A088-9252-50B8-5A1345D09AEB
Acer C7 Chromebook,beta-channel,54.0.2840.24,8743.25.0,9D137383-EB72-4BA9-A523-91AC0853F8AD
Acer C7 Chromebook,dev-channel,55.0.2858.0,8798.0.0,9D137383-EB72-4BA9-A523-91AC0853F8AD
Acer C7 Chromebook,stable-channel,53.0.2785.103,8530.81.0,9D137383-EB72-4BA9-A523-91AC0853F8AD
Acer Chromebase 24,beta-channel,54.0.2840.24,8743.25.0,B801E98B-4AB6-4D82-B3B3-E1517DC53266
Acer Chromebase 24,dev-channel,55.0.2858.0,8798.0.0,B801E98B-4AB6-4D82-B3B3-E1517DC53266
Acer Chromebase 24,stable-channel,53.0.2785.103,8530.81.0,B801E98B-4AB6-4D82-B3B3-E1517DC53266
Acer Chromebase,beta-channel,54.0.2840.24,8743.25.0,2A52A861-EDBF-5268-5DD4-9C85E5BE2419
Acer Chromebase,dev-channel,55.0.2858.0,8798.0.0,2A52A861-EDBF-5268-5DD4-9C85E5BE2419
Acer Chromebase,stable-channel,53.0.2785.103,8530.81.0,2A52A861-EDBF-5268-5DD4-9C85E5BE2419
Acer Chromebook 11 (C730 / C730E),beta-channel,54.0.2840.24,8743.25.0,CCBD0510-9FD5-F4B7-53CA-3EBE6CEA52D3
Acer Chromebook 11 (C730 / C730E),dev-channel,55.0.2858.0,8798.0.0,CCBD0510-9FD5-F4B7-53CA-3EBE6CEA52D3
Acer Chromebook 11 (C730 / C730E),stable-channel,53.0.2785.103,8530.81.0,CCBD0510-9FD5-F4B7-53CA-3EBE6CEA52D3
Acer Chromebook 13 (CB5-311),beta-channel,54.0.2840.24,8743.25.0,2FC0F0CF-1A55-DF3F-73E6-517389444085
Acer Chromebook 13 (CB5-311),dev-channel,55.0.2858.0,8798.0.0,2FC0F0CF-1A55-DF3F-73E6-517389444085
Acer Chromebook 13 (CB5-311),stable-channel,53.0.2785.103,8530.81.0,2FC0F0CF-1A55-DF3F-73E6-517389444085
Acer Chromebook 14 for Work,beta-channel,53.0.2785.103,8530.81.0,E7507B05-EC5C-437C-9878-E870E20111BC
Acer Chromebook 14 for Work,dev-channel,55.0.2858.0,8798.0.0,E7507B05-EC5C-437C-9878-E870E20111BC
Acer Chromebook 14 for Work,stable-channel,53.0.2785.103,8530.81.0,E7507B05-EC5C-437C-9878-E870E20111BC
Acer Chromebook 15.6-inch (CB3-531),beta-channel,54.0.2840.24,8743.25.0,3A837630-D749-4B7A-86C1-DB0ECC07A08B
Acer Chromebook 15.6-inch (CB3-531),dev-channel,55.0.2858.0,8798.0.0,3A837630-D749-4B7A-86C1-DB0ECC07A08B
Acer Chromebook 15.6-inch (CB3-531),stable-channel,53.0.2785.103,8530.81.0,3A837630-D749-4B7A-86C1-DB0ECC07A08B
Acer Chromebook 15,beta-channel,54.0.2840.24,8743.25.0,FF7E5403-68B3-9E57-EE1C-A53D8AF2BAC3
Acer Chromebook 15,dev-channel,55.0.2858.0,8798.0.0,FF7E5403-68B3-9E57-EE1C-A53D8AF2BAC3
Acer Chromebook 15,stable-channel,53.0.2785.103,8530.81.0,FF7E5403-68B3-9E57-EE1C-A53D8AF2BAC3
Acer Chromebook R11,beta-channel,53.0.2785.129,8530.90.0,11130F0B-738A-C024-7A78-CF72D93B77AF
Acer Chromebook R11,dev-channel,54.0.2840.33,8743.35.0,11130F0B-738A-C024-7A78-CF72D93B77AF
Acer Chromebook R11,stable-channel,53.0.2785.129,8530.90.0,11130F0B-738A-C024-7A78-CF72D93B77AF
Acer Chromebook R13,beta-channel,54.0.2840.24,8743.25.0,5BF597B2-ADE3-52C9-1DDA-95719C914AFF
Acer Chromebook R13,dev-channel,55.0.2858.0,8798.0.0,5BF597B2-ADE3-52C9-1DDA-95719C914AFF
Acer Chromebook R13,stable-channel,53.0.2785.103,8530.81.0,5BF597B2-ADE3-52C9-1DDA-95719C914AFF
Acer Chromebox,beta-channel,54.0.2840.24,8743.25.0,63F299BF-A062-45D5-9050-F7B893BE820B
Acer Chromebox CXI2,beta-channel,54.0.2840.24,8743.25.0,8F55A657-819A-4F70-B178-C7E2D54D7C0C
Acer Chromebox CXI2,dev-channel,55.0.2858.0,8798.0.0,8F55A657-819A-4F70-B178-C7E2D54D7C0C
Acer Chromebox CXI2,stable-channel,53.0.2785.103,8530.81.0,8F55A657-819A-4F70-B178-C7E2D54D7C0C
Acer Chromebox,dev-channel,55.0.2858.0,8798.0.0,63F299BF-A062-45D5-9050-F7B893BE820B
Acer Chromebox,stable-channel,53.0.2785.103,8530.81.0,63F299BF-A062-45D5-9050-F7B893BE820B
AOpen Chromebase Commercial,beta-channel,54.0.2840.24,8743.25.0,FEF8EE3B-4E4C-956F-15CA-B36006D11E46
AOpen Chromebase Commercial,dev-channel,55.0.2858.0,8798.0.0,FEF8EE3B-4E4C-956F-15CA-B36006D11E46
AOpen Chromebase Commercial,stable-channel,53.0.2785.103,8530.81.0,FEF8EE3B-4E4C-956F-15CA-B36006D11E46
AOpen Chromebox Commercial,beta-channel,54.0.2840.24,8743.25.0,555B868F-306A-3E26-6687-FC081968D43A
AOpen Chromebox Commercial,dev-channel,55.0.2858.0,8798.0.0,555B868F-306A-3E26-6687-FC081968D43A
AOpen Chromebox Commercial,stable-channel,53.0.2785.103,8530.81.0,555B868F-306A-3E26-6687-FC081968D43A
ASI Chromebook,beta-channel,54.0.2840.24,8743.25.0,BB86912A-29BE-A59B-31EF-8F4DD1C023E2
ASI Chromebook,dev-channel,55.0.2858.0,8798.0.0,BB86912A-29BE-A59B-31EF-8F4DD1C023E2
ASI Chromebook,stable-channel,53.0.2785.103,8530.81.0,BB86912A-29BE-A59B-31EF-8F4DD1C023E2
Asus Chromebit CS10,beta-channel,54.0.2840.24,8743.25.0,181B8BE1-07A0-4D54-87B7-0157A4322FF1
Asus Chromebit CS10,dev-channel,55.0.2858.0,8798.0.0,181B8BE1-07A0-4D54-87B7-0157A4322FF1
Asus Chromebit CS10,stable-channel,53.0.2785.103,8530.81.0,181B8BE1-07A0-4D54-87B7-0157A4322FF1
Asus Chromebook C200,beta-channel,54.0.2840.24,8743.25.0,777CE760-E315-FF86-2837-D51D10BA7C52
Asus Chromebook C200,dev-channel,55.0.2858.0,8798.0.0,777CE760-E315-FF86-2837-D51D10BA7C52
Asus Chromebook C200,stable-channel,53.0.2785.103,8530.81.0,777CE760-E315-FF86-2837-D51D10BA7C52
ASUS Chromebook C201,beta-channel,54.0.2840.24,8743.25.0,81C04B02-A863-BFBB-F77C-7707347DC958
ASUS Chromebook C201,dev-channel,55.0.2858.0,8798.0.0,81C04B02-A863-BFBB-F77C-7707347DC958
ASUS Chromebook C201,stable-channel,53.0.2785.103,8530.81.0,81C04B02-A863-BFBB-F77C-7707347DC958
Asus Chromebook C300,beta-channel,54.0.2840.24,8743.25.0,A772AA64-E906-A01E-1DFD-1856870D39EC
Asus Chromebook C300,dev-channel,55.0.2858.0,8798.0.0,A772AA64-E906-A01E-1DFD-1856870D39EC
ASUS CHROMEBOOK C300SA,beta-channel,54.0.2840.24,8743.25.0,C9947713-1881-D543-F1C0-900256540EFC
ASUS CHROMEBOOK C300SA,dev-channel,55.0.2858.0,8798.0.0,C9947713-1881-D543-F1C0-900256540EFC
ASUS CHROMEBOOK C300SA,stable-channel,53.0.2785.103,8530.81.0,C9947713-1881-D543-F1C0-900256540EFC
Asus Chromebook C300,stable-channel,53.0.2785.103,8530.81.0,A772AA64-E906-A01E-1DFD-1856870D39EC
ASUS Chromebook Flip C100PA,beta-channel,53.0.2785.129,8530.90.0,432FF9F1-4D2E-7E74-6F98-32E56E904BFB
ASUS Chromebook Flip C100PA,dev-channel,54.0.2840.24,8743.25.0,432FF9F1-4D2E-7E74-6F98-32E56E904BFB
ASUS Chromebook Flip C100PA,stable-channel,53.0.2785.129,8530.90.0,432FF9F1-4D2E-7E74-6F98-32E56E904BFB
ASUS CHROMEBOOOK C202SA,beta-channel,54.0.2840.24,8743.25.0,C9947713-1881-D543-F1C0-900256540EFC
ASUS CHROMEBOOOK C202SA,dev-channel,55.0.2858.0,8798.0.0,C9947713-1881-D543-F1C0-900256540EFC
ASUS CHROMEBOOOK C202SA,stable-channel,53.0.2785.103,8530.81.0,C9947713-1881-D543-F1C0-900256540EFC
ASUS Chromebox CN60,beta-channel,54.0.2840.24,8743.25.0,C0E4276B-35C7-023D-BB4A-42D642B91E65
ASUS Chromebox CN60,dev-channel,55.0.2858.0,8798.0.0,C0E4276B-35C7-023D-BB4A-42D642B91E65
ASUS Chromebox CN60,stable-channel,53.0.2785.103,8530.81.0,C0E4276B-35C7-023D-BB4A-42D642B91E65
Asus Chromebox CN62,beta-channel,54.0.2840.24,8743.25.0,8AA6D9AC-6EBC-4288-A615-171F56F66B4E
Asus Chromebox CN62,dev-channel,55.0.2858.0,8798.0.0,8AA6D9AC-6EBC-4288-A615-171F56F66B4E
Asus Chromebox CN62,stable-channel,53.0.2785.103,8530.81.0,8AA6D9AC-6EBC-4288-A615-171F56F66B4E
Bobicus Chromebook 11,beta-channel,54.0.2840.24,8743.25.0,87772BEF-2C77-A279-5B2C-921E49629934
Bobicus Chromebook 11,dev-channel,55.0.2858.0,8798.0.0,87772BEF-2C77-A279-5B2C-921E49629934
Bobicus Chromebook 11,stable-channel,53.0.2785.103,8530.81.0,87772BEF-2C77-A279-5B2C-921E49629934
Chromebook PCM-116E,beta-channel,54.0.2840.24,8743.25.0,53EF63C4-236D-75A0-D9AE-A6BBB686AC98
Chromebook PCM-116E,dev-channel,55.0.2858.0,8798.0.0,53EF63C4-236D-75A0-D9AE-A6BBB686AC98
Chromebook PCM-116E,stable-channel,53.0.2785.103,8530.81.0,53EF63C4-236D-75A0-D9AE-A6BBB686AC98
Cr-48,beta-channel,54.0.2840.24,8743.25.0,87efface-864d-49a5-9bb3-4b050a7c227a
Cr-48,dev-channel,55.0.2858.0,8798.0.0,87efface-864d-49a5-9bb3-4b050a7c227a
Cr-48,stable-channel,53.0.2785.103,8530.81.0,87efface-864d-49a5-9bb3-4b050a7c227a
Crambo Chromebook,beta-channel,54.0.2840.24,8743.25.0,BB86912A-29BE-A59B-31EF-8F4DD1C023E2
Crambo Chromebook,dev-channel,55.0.2858.0,8798.0.0,BB86912A-29BE-A59B-31EF-8F4DD1C023E2
Crambo Chromebook,stable-channel,53.0.2785.103,8530.81.0,BB86912A-29BE-A59B-31EF-8F4DD1C023E2
CTL J2 / J4 Chromebook for Education,beta-channel,54.0.2840.24,8743.25.0,87C6D674-9385-6143-BE67-8B5E3064E89D
CTL J2 / J4 Chromebook for Education,dev-channel,55.0.2858.0,8798.0.0,87C6D674-9385-6143-BE67-8B5E3064E89D
CTL J2 / J4 Chromebook for Education,stable-channel,53.0.2785.103,8530.81.0,87C6D674-9385-6143-BE67-8B5E3064E89D
CTL J5 Chromebook,beta-channel,53.0.2785.103,8530.81.0,74A5A9DD-1B51-4602-A7FA-751B804627A0
CTL J5 Chromebook,dev-channel,55.0.2858.0,8798.0.0,74A5A9DD-1B51-4602-A7FA-751B804627A0
CTL J5 Chromebook,stable-channel,53.0.2785.103,8530.81.0,74A5A9DD-1B51-4602-A7FA-751B804627A0
CTL N6 Education Chromebook,beta-channel,54.0.2840.24,8743.25.0,BB86912A-29BE-A59B-31EF-8F4DD1C023E2
CTL N6 Education Chromebook,dev-channel,55.0.2858.0,8798.0.0,BB86912A-29BE-A59B-31EF-8F4DD1C023E2
CTL N6 Education Chromebook,stable-channel,53.0.2785.103,8530.81.0,BB86912A-29BE-A59B-31EF-8F4DD1C023E2
CTL NL61 Chromebook,beta-channel,54.0.2840.24,8743.25.0,3FC66B4B-1B63-94FA-BD6F-DB856B496918
CTL NL61 Chromebook,dev-channel,55.0.2858.0,8798.0.0,3FC66B4B-1B63-94FA-BD6F-DB856B496918
CTL NL61 Chromebook,stable-channel,53.0.2785.103,8530.81.0,3FC66B4B-1B63-94FA-BD6F-DB856B496918
Dell Chromebook 11 (3120),beta-channel,54.0.2840.24,8743.25.0,BABC2E82-8F7D-26E5-EE66-4C60A2B41DBC
Dell Chromebook 11 (3120),dev-channel,55.0.2858.0,8798.0.0,BABC2E82-8F7D-26E5-EE66-4C60A2B41DBC
Dell Chromebook 11 (3120),stable-channel,53.0.2785.103,8530.81.0,BABC2E82-8F7D-26E5-EE66-4C60A2B41DBC
Dell Chromebook 11,beta-channel,54.0.2840.24,8743.25.0,1E454867-ACF6-5F8B-091F-145680D4A7F5
Dell Chromebook 11,dev-channel,55.0.2858.0,8798.0.0,1E454867-ACF6-5F8B-091F-145680D4A7F5
Dell Chromebook 11,stable-channel,53.0.2785.103,8530.81.0,1E454867-ACF6-5F8B-091F-145680D4A7F5
Dell Chromebook 13 7310,beta-channel,54.0.2840.24,8743.25.0,40C6BCAB-B8D4-466F-9C3C-069B8CAC36D7
Dell Chromebook 13 7310,dev-channel,55.0.2858.0,8798.0.0,40C6BCAB-B8D4-466F-9C3C-069B8CAC36D7
Dell Chromebook 13 7310,stable-channel,53.0.2785.103,8530.81.0,40C6BCAB-B8D4-466F-9C3C-069B8CAC36D7
Dell Chromebox,beta-channel,54.0.2840.24,8743.25.0,3C46DD14-D42A-9F77-E2CB-7D83422F5B73
Dell Chromebox,dev-channel,55.0.2858.0,8798.0.0,3C46DD14-D42A-9F77-E2CB-7D83422F5B73
Dell Chromebox,stable-channel,53.0.2785.103,8530.81.0,3C46DD14-D42A-9F77-E2CB-7D83422F5B73
eduGear Chromebook K Series,beta-channel,54.0.2840.24,8743.25.0,87C6D674-9385-6143-BE67-8B5E3064E89D
eduGear Chromebook K Series,dev-channel,55.0.2858.0,8798.0.0,87C6D674-9385-6143-BE67-8B5E3064E89D
eduGear Chromebook K Series,stable-channel,53.0.2785.103,8530.81.0,87C6D674-9385-6143-BE67-8B5E3064E89D
eduGear Chromebook M Series,beta-channel,54.0.2840.24,8743.25.0,53EF63C4-236D-75A0-D9AE-A6BBB686AC98
eduGear Chromebook M Series,dev-channel,55.0.2858.0,8798.0.0,53EF63C4-236D-75A0-D9AE-A6BBB686AC98
eduGear Chromebook M Series,stable-channel,53.0.2785.103,8530.81.0,53EF63C4-236D-75A0-D9AE-A6BBB686AC98
eduGear Chromebook R,beta-channel,54.0.2840.24,8743.25.0,BB86912A-29BE-A59B-31EF-8F4DD1C023E2
eduGear Chromebook R,dev-channel,55.0.2858.0,8798.0.0,BB86912A-29BE-A59B-31EF-8F4DD1C023E2
eduGear Chromebook R,stable-channel,53.0.2785.103,8530.81.0,BB86912A-29BE-A59B-31EF-8F4DD1C023E2
Edugear CMT Chromebook,beta-channel,53.0.2785.103,8530.81.0,74A5A9DD-1B51-4602-A7FA-751B804627A0
Edugear CMT Chromebook,dev-channel,55.0.2858.0,8798.0.0,74A5A9DD-1B51-4602-A7FA-751B804627A0
Edugear CMT Chromebook,stable-channel,53.0.2785.103,8530.81.0,74A5A9DD-1B51-4602-A7FA-751B804627A0
Edxis Chromebook,beta-channel,54.0.2840.24,8743.25.0,87772BEF-2C77-A279-5B2C-921E49629934
Edxis Chromebook,dev-channel,55.0.2858.0,8798.0.0,87772BEF-2C77-A279-5B2C-921E49629934
Edxis Chromebook,stable-channel,53.0.2785.103,8530.81.0,87772BEF-2C77-A279-5B2C-921E49629934
Edxis Education Chromebook,beta-channel,54.0.2840.24,8743.25.0,3FC66B4B-1B63-94FA-BD6F-DB856B496918
Edxis Education Chromebook,beta-channel,54.0.2840.24,8743.25.0,BB86912A-29BE-A59B-31EF-8F4DD1C023E2
Edxis Education Chromebook,dev-channel,55.0.2858.0,8798.0.0,3FC66B4B-1B63-94FA-BD6F-DB856B496918
Edxis Education Chromebook,dev-channel,55.0.2858.0,8798.0.0,BB86912A-29BE-A59B-31EF-8F4DD1C023E2
Edxis Education Chromebook,stable-channel,53.0.2785.103,8530.81.0,3FC66B4B-1B63-94FA-BD6F-DB856B496918
Edxis Education Chromebook,stable-channel,53.0.2785.103,8530.81.0,BB86912A-29BE-A59B-31EF-8F4DD1C023E2
Google Chromebook Pixel,beta-channel,54.0.2840.24,8743.25.0,F26D159B-52A3-491A-AE25-B23670A66B32
Google Chromebook Pixel,dev-channel,55.0.2858.0,8798.0.0,F26D159B-52A3-491A-AE25-B23670A66B32
Google Chromebook Pixel,stable-channel,53.0.2785.103,8530.81.0,F26D159B-52A3-491A-AE25-B23670A66B32
Haier Chromebook 11,beta-channel,54.0.2840.24,8743.25.0,6D2E4D56-A22C-2F8F-7127-DA90A65F85E1
Haier Chromebook 11,dev-channel,55.0.2858.0,8798.0.0,6D2E4D56-A22C-2F8F-7127-DA90A65F85E1
Haier Chromebook 11e,beta-channel,54.0.2840.24,8743.25.0,53EF63C4-236D-75A0-D9AE-A6BBB686AC98
Haier Chromebook 11e,dev-channel,55.0.2858.0,8798.0.0,53EF63C4-236D-75A0-D9AE-A6BBB686AC98
Haier Chromebook 11e,stable-channel,53.0.2785.103,8530.81.0,53EF63C4-236D-75A0-D9AE-A6BBB686AC98
Haier Chromebook 11 G2,beta-channel,54.0.2840.24,8743.25.0,3E8F25F2-3438-46CE-85AC-4A0329A79E09
Haier Chromebook 11 G2,dev-channel,55.0.2858.0,8798.0.0,3E8F25F2-3438-46CE-85AC-4A0329A79E09
Haier Chromebook 11 G2,stable-channel,53.0.2785.103,8530.81.0,3E8F25F2-3438-46CE-85AC-4A0329A79E09
Haier Chromebook 11,stable-channel,53.0.2785.103,8530.81.0,6D2E4D56-A22C-2F8F-7127-DA90A65F85E1
HEXA Chromebook Pi,beta-channel,54.0.2840.24,8743.25.0,87772BEF-2C77-A279-5B2C-921E49629934
HEXA Chromebook Pi,dev-channel,55.0.2858.0,8798.0.0,87772BEF-2C77-A279-5B2C-921E49629934
HEXA Chromebook Pi,stable-channel,53.0.2785.103,8530.81.0,87772BEF-2C77-A279-5B2C-921E49629934
HiSense Chromebook 11,beta-channel,54.0.2840.24,8743.25.0,87C6D674-9385-6143-BE67-8B5E3064E89D
HiSense Chromebook 11,dev-channel,55.0.2858.0,8798.0.0,87C6D674-9385-6143-BE67-8B5E3064E89D
HiSense Chromebook 11,stable-channel,53.0.2785.103,8530.81.0,87C6D674-9385-6143-BE67-8B5E3064E89D
HP Chromebook 11 1100-1199 / HP Chromebook 11 G1,beta-channel,54.0.2840.24,8743.25.0,ADA16F7B-283C-4907-AE27-ABBF5CA4F7F1
HP Chromebook 11 1100-1199 / HP Chromebook 11 G1,dev-channel,55.0.2858.0,8798.0.0,ADA16F7B-283C-4907-AE27-ABBF5CA4F7F1
HP Chromebook 11 1100-1199 / HP Chromebook 11 G1,stable-channel,53.0.2785.103,8530.81.0,ADA16F7B-283C-4907-AE27-ABBF5CA4F7F1
HP Chromebook 11 2000-2099 / HP Chromebook 11 G2,beta-channel,54.0.2840.24,8743.25.0,9334BFCE-8C16-59D1-9274-AD14AC4EC0DE
HP Chromebook 11 2000-2099 / HP Chromebook 11 G2,dev-channel,55.0.2858.0,8798.0.0,9334BFCE-8C16-59D1-9274-AD14AC4EC0DE
HP Chromebook 11 2000-2099 / HP Chromebook 11 G2,stable-channel,53.0.2785.103,8530.81.0,9334BFCE-8C16-59D1-9274-AD14AC4EC0DE
HP Chromebook 11 2100-2199 / HP Chromebook 11 G3,beta-channel,54.0.2840.24,8743.25.0,BBE772C3-5541-6976-C676-54FD72D41B2B
HP Chromebook 11 2100-2199 / HP Chromebook 11 G3,dev-channel,55.0.2858.0,8798.0.0,BBE772C3-5541-6976-C676-54FD72D41B2B
HP Chromebook 11 2100-2199 / HP Chromebook 11 G3,stable-channel,53.0.2785.103,8530.81.0,BBE772C3-5541-6976-C676-54FD72D41B2B
HP Chromebook 11 2200-2299 / HP Chromebook 11 G4/G4 EE,beta-channel,54.0.2840.24,8743.25.0,BBE772C3-5541-6976-C676-54FD72D41B2B
HP Chromebook 11 2200-2299 / HP Chromebook 11 G4/G4 EE,dev-channel,55.0.2858.0,8798.0.0,BBE772C3-5541-6976-C676-54FD72D41B2B
HP Chromebook 11 2200-2299 / HP Chromebook 11 G4/G4 EE,stable-channel,53.0.2785.103,8530.81.0,BBE772C3-5541-6976-C676-54FD72D41B2B
HP Chromebook 11 G5 / HP Chromebook 11-vxxx,beta-channel,54.0.2840.24,8743.25.0,E9E5C8F0-C30C-190F-CA75-D6184C3FEED6
HP Chromebook 11 G5 / HP Chromebook 11-vxxx,dev-channel,55.0.2858.0,8798.0.0,E9E5C8F0-C30C-190F-CA75-D6184C3FEED6
HP Chromebook 11 G5 / HP Chromebook 11-vxxx,stable-channel,53.0.2785.103,8530.81.0,E9E5C8F0-C30C-190F-CA75-D6184C3FEED6
HP Chromebook 13 G1,beta-channel,54.0.2840.24,8743.25.0,114DBB0F-4507-F7FC-99B6-4BCAB6A39725
HP Chromebook 13 G1,dev-channel,55.0.2858.0,8798.0.0,114DBB0F-4507-F7FC-99B6-4BCAB6A39725
HP Chromebook 13 G1,stable-channel,53.0.2785.103,8530.81.0,114DBB0F-4507-F7FC-99B6-4BCAB6A39725
HP Chromebook 14 ak000-099 / HP Chromebook 14 G4,beta-channel,54.0.2840.24,8743.25.0,BBE772C3-5541-6976-C676-54FD72D41B2B
HP Chromebook 14 ak000-099 / HP Chromebook 14 G4,dev-channel,55.0.2858.0,8798.0.0,BBE772C3-5541-6976-C676-54FD72D41B2B
HP Chromebook 14 ak000-099 / HP Chromebook 14 G4,stable-channel,53.0.2785.103,8530.81.0,BBE772C3-5541-6976-C676-54FD72D41B2B
HP Chromebook 14,beta-channel,54.0.2840.24,8743.25.0,FA5D6766-6B3C-47C8-84DD-6A322C311569
HP Chromebook 14,dev-channel,55.0.2858.0,8798.0.0,FA5D6766-6B3C-47C8-84DD-6A322C311569
HP Chromebook 14,stable-channel,53.0.2785.103,8530.81.0,FA5D6766-6B3C-47C8-84DD-6A322C311569
HP Chromebook 14 x000-x999 / HP Chromebook 14 G3,beta-channel,54.0.2840.24,8743.25.0,D35424B0-18B3-8134-D22F-840F039499BE
HP Chromebook 14 x000-x999 / HP Chromebook 14 G3,dev-channel,55.0.2858.0,8798.0.0,D35424B0-18B3-8134-D22F-840F039499BE
HP Chromebook 14 x000-x999 / HP Chromebook 14 G3,stable-channel,53.0.2785.103,8530.81.0,D35424B0-18B3-8134-D22F-840F039499BE
HP Chromebox CB1-(000-099) / HP Chromebox G1/ HP Chromebox for Meetings,beta-channel,54.0.2840.24,8743.25.0,C3EA54EB-348D-5118-8598-CFD6317AD268
HP Chromebox CB1-(000-099) / HP Chromebox G1/ HP Chromebox for Meetings,dev-channel,55.0.2858.0,8798.0.0,C3EA54EB-348D-5118-8598-CFD6317AD268
HP Chromebox CB1-(000-099) / HP Chromebox G1/ HP Chromebox for Meetings,stable-channel,53.0.2785.103,8530.81.0,C3EA54EB-348D-5118-8598-CFD6317AD268
HP Pavilion Chromebook 14,beta-channel,54.0.2840.24,8743.25.0,6372E332-9A26-4CE3-9C39-93D8A4E383AF
HP Pavilion Chromebook 14,dev-channel,55.0.2858.0,8798.0.0,6372E332-9A26-4CE3-9C39-93D8A4E383AF
HP Pavilion Chromebook 14,stable-channel,53.0.2785.103,8530.81.0,6372E332-9A26-4CE3-9C39-93D8A4E383AF
Lenovo 100S Chromebook,beta-channel,54.0.2840.24,8743.25.0,C13F1877-80F6-0531-A06A-FA478898AA73
Lenovo 100S Chromebook,dev-channel,55.0.2858.0,8798.0.0,C13F1877-80F6-0531-A06A-FA478898AA73
Lenovo 100S Chromebook,stable-channel,53.0.2785.103,8530.81.0,C13F1877-80F6-0531-A06A-FA478898AA73
Lenovo N20 Chromebook,beta-channel,54.0.2840.24,8743.25.0,BBCEB6C1-5567-09B4-1619-DAD125AC892D
Lenovo N20 Chromebook,dev-channel,55.0.2858.0,8798.0.0,BBCEB6C1-5567-09B4-1619-DAD125AC892D
Lenovo N20 Chromebook,stable-channel,53.0.2785.103,8530.81.0,BBCEB6C1-5567-09B4-1619-DAD125AC892D
Lenovo N21 Chromebook,beta-channel,54.0.2840.24,8743.25.0,BB86912A-29BE-A59B-31EF-8F4DD1C023E2
Lenovo N21 Chromebook,dev-channel,55.0.2858.0,8798.0.0,BB86912A-29BE-A59B-31EF-8F4DD1C023E2
Lenovo N21 Chromebook,stable-channel,53.0.2785.103,8530.81.0,BB86912A-29BE-A59B-31EF-8F4DD1C023E2
Lenovo N22 (Touch) Chromebook,beta-channel,54.0.2840.24,8743.25.0,00599913-5741-F624-6375-E732C4602915
Lenovo N22 (Touch) Chromebook,dev-channel,55.0.2858.0,8798.0.0,00599913-5741-F624-6375-E732C4602915
Lenovo N22 (Touch) Chromebook,stable-channel,53.0.2785.103,8530.81.0,00599913-5741-F624-6375-E732C4602915
Lenovo N42 (Touch) Chromebook,beta-channel,54.0.2840.24,8743.25.0,00599913-5741-F624-6375-E732C4602915
Lenovo N42 (Touch) Chromebook,dev-channel,55.0.2858.0,8798.0.0,00599913-5741-F624-6375-E732C4602915
Lenovo N42 (Touch) Chromebook,stable-channel,53.0.2785.103,8530.81.0,00599913-5741-F624-6375-E732C4602915
Lenovo ThinkCentre Chromebox,beta-channel,54.0.2840.24,8743.25.0,4A52D805-8FA6-43A1-9F71-C1A59FD918E8
Lenovo ThinkCentre Chromebox,dev-channel,55.0.2858.0,8798.0.0,4A52D805-8FA6-43A1-9F71-C1A59FD918E8
Lenovo ThinkCentre Chromebox,stable-channel,53.0.2785.103,8530.81.0,4A52D805-8FA6-43A1-9F71-C1A59FD918E8
Lenovo ThinkPad 11e Chromebook,beta-channel,54.0.2840.24,8743.25.0,D0DBB0D9-6EEB-B148-F8AF-AE8AF86ECE5B
Lenovo ThinkPad 11e Chromebook,dev-channel,55.0.2858.0,8798.0.0,D0DBB0D9-6EEB-B148-F8AF-AE8AF86ECE5B
Lenovo ThinkPad 11e Chromebook,stable-channel,53.0.2785.103,8530.81.0,D0DBB0D9-6EEB-B148-F8AF-AE8AF86ECE5B
