Name,Description,Channel,Version,HWID Match,File,File Size,URL,Zip File Size,MD5,SHA1
Acer 15.6-inch Chromebook,Acer 15.6-inch BSW Banjo refresh,stable-channel,8530.81.0,BANON . ..,chromeos_8530.81.0_banon_recovery_stable-channel_mp.bin,2279571456,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_8530.81.0_banon_recovery_stable-channel_mp.bin.zip,639893673,4f54303a00c10c946e8cbd0c1c803741,55283c73c64c48cca410eddc38b23a9f4854648e
Acer AC700-1099 Wifi,Acer AC700,stable-channel,8530.93.0,ACER ZGB ALPHA-DE 1802|ACER ZGB ALPHA-ES 3786|ACER ZGB ALPHA-FR 4223|ACER ZGB ALPHA-GB 7370|ACER ZGB ALPHA-IT 4645|ACER ZGB ALPHA-US 4443|ACER ZGB ALPHA-US-INTL 6722|ACER ZGB BETA-DE 3227|ACER ZGB BETA-ES 2795|ACER ZGB BETA-FR 6478|ACER ZGB BETA-GB 9131|ACER ZGB BETA-IT 7076|ACER ZGB BETA-US 2170|ACER ZGB BETA-US-INTL 1108|ACER ZGB DELTA-DE 6494|ACER ZGB DELTA-ES 6446|ACER ZGB DELTA-FR 1131|ACER ZGB DELTA-GB 0702|ACER ZGB DELTA-IT 5185|ACER ZGB DELTA-US 3919|ACER ZGB DELTA-US-INTL 7354|ACER ZGB EPSILON-DE 1424|ACER ZGB EPSILON-ES 0624|ACER ZGB EPSILON-FR 3269|ACER ZGB EPSILON-GB 1280|ACER ZGB EPSILON-IT 2335|ACER ZGB EPSILON-US 7201|ACER ZGB EPSILON-US-INTL 9303|ACER ZGB ETA-DE 9254|ACER ZGB ETA-ES 5606|ACER ZGB ETA-FR 2883|ACER ZGB ETA-GB 8902|ACER ZGB ETA-IT 8185|ACER ZGB ETA-US 0919|ACER ZGB ETA-US-INTL 4867|ACER ZGB PVT ALPHA 0527|ACER ZGB PVT BETA 6683|ACER ZGB RAMP ALPHA-US 3543|ACER ZGB RAMP BETA-US 9825|ACER ZGB THETA-DE 7805|ACER ZGB THETA-ES 2301|ACER ZGB THETA-FR 8488|ACER ZGB THETA-GB 3309|ACER ZGB THETA-IT 6914|ACER ZGB THETA-US 4844|ACER ZGB THETA-US-INTL 6699,chromeos_8530.93.0_x86-zgb-he_recovery_stable-channel_zgb-mp-v3.bin,1535082496,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_8530.93.0_x86-zgb-he_recovery_stable-channel_zgb-mp-v3.bin.zip,621718988,03766ed3446d5555f2ba939b569bc7a6,b5e873635e279b7b1826237ac0982c5cc7dce42d
Acer AC700-1529 3G,Acer AC700,stable-channel,8530.93.0,ACER ZGB DOGFOOD 5871|ACER ZGB EVT WITH-MP-KEY 9557|ACER ZGB EVT WITH-PVT-KEY 6035|ACER ZGB GAMMA-DE 5816|ACER ZGB GAMMA-ES 3400|ACER ZGB GAMMA-FR 4797|ACER ZGB GAMMA-GB 1624|ACER ZGB GAMMA-IT 9655|ACER ZGB GAMMA-US 8585|ACER ZGB GAMMA-US-INTL 2985|ACER ZGB IOTA-DE 2087|ACER ZGB IOTA-ES 3911|ACER ZGB IOTA-FR 8642|ACER ZGB IOTA-GB 2503|ACER ZGB IOTA-IT 3304|ACER ZGB IOTA-US 0006|ACER ZGB IOTA-US-INTL 6942|ACER ZGB PVT GAMMA 2900|ACER ZGB PVT GAMMA-DE 9985|ACER ZGB PVT GAMMA-FR 8500|ACER ZGB PVT GAMMA-UK 0422|ACER ZGB RAMP GAMMA-DE 0324|ACER ZGB RAMP GAMMA-ES 2948|ACER ZGB RAMP GAMMA-FR 0657|ACER ZGB RAMP GAMMA-IT 9227|ACER ZGB RAMP GAMMA-UK 2931|ACER ZGB RAMP GAMMA-US 5013|ACER ZGB RAMP GAMMA-US-INTL 2534|ACER ZGB ZETA-DE 0178|ACER ZGB ZETA-ES 9362|ACER ZGB ZETA-FR 6151|ACER ZGB ZETA-GB 2290|ACER ZGB ZETA-IT 0285|ACER ZGB ZETA-US 5219|ACER ZGB ZETA-US-INTL 2390,chromeos_8530.93.0_x86-zgb_recovery_stable-channel_zgb-mp-v3.bin,1535082496,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_8530.93.0_x86-zgb_recovery_stable-channel_zgb-mp-v3.bin.zip,644517923,3cd98dc60b33d8f626bf8bce64d5a41d,e3ce530540259e68e732ef82e666ea69f517668f
Acer C720 Chromebook,Acer C720 Chromebook,stable-channel,8530.93.0,PEPPY . ..,chromeos_8530.93.0_peppy_recovery_stable-channel_mp-v3.bin,1535082496,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_8530.93.0_peppy_recovery_stable-channel_mp-v3.bin.zip,630926484,4c065576b38b17318a12f9abbacc1275,96bb1c7bd65b01a1d5f0b6b3e37a40ee36b60158
Acer C740 Chromebook,11.6-inch EDU focued BDW-U clamshell using Peppy ID,stable-channel,8530.93.0,PAINE . ..,chromeos_8530.93.0_auron-paine_recovery_stable-channel_paine-mp-v2.bin,2279571456,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_8530.93.0_auron-paine_recovery_stable-channel_paine-mp-v2.bin.zip,631049516,2400b7e0980e39c3a1ca27c392303f41,954173082f10483cffecb54c414813539a32f6af
Acer C7 Chromebook,Acer C7 Chromebook,stable-channel,8530.93.0,PARROT .*-[ABCDFGH] . ..,chromeos_8530.93.0_parrot_recovery_stable-channel_mp-v4.bin,1535082496,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_8530.93.0_parrot_recovery_stable-channel_mp-v4.bin.zip,617195541,ef54d9b54ca85c5aa9c46589ece0f185,df673b962e3256407eb299d6bf4fcc0c23ae3f10
Acer C7 Chromebook IVB,Acer C7 Chromebook,stable-channel,8530.93.0,PARROT .*-E . ..,chromeos_8530.93.0_parrot-ivb_recovery_stable-channel_parrot-mp-v4.bin,1535082496,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_8530.93.0_parrot-ivb_recovery_stable-channel_parrot-mp-v4.bin.zip,619813489,44d5e1c1569492e061191164041cb7cb,aabe4eb6dd226f549b5f4f312262cf0d29e39904
Acer Chromebase,21.5-inch nVidia K1 AIO w/ touch,stable-channel,8530.93.0,KITTY . ..,chromeos_8530.93.0_nyan-kitty_recovery_stable-channel_kitty-mp.bin,1535082496,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_8530.93.0_nyan-kitty_recovery_stable-channel_kitty-mp.bin.zip,593061238,6aa5b77f641b72b6faa96fc84da8912b,6f438444f735e8523f3e9bb3b708eb314afc80d4
Acer Chromebase 24,Broadwell 24-inch Chromebase,stable-channel,8530.93.0,BUDDY . ..,chromeos_8530.93.0_buddy_recovery_stable-channel_mp-v2.bin,2279571456,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_8530.93.0_buddy_recovery_stable-channel_mp-v2.bin.zip,633680791,99771958bf329fb0efe210c5fb6f1c54,371e8ed9985f3cc613207a36fd5b1b8a586ecf8e
Acer Chromebook 11 (C730 / C730E),11-inch chromebook Hugo and Hugo_Edu,stable-channel,8530.93.0,GNAWTY w{3}-w{3}-w{3}$|^GNAWTY w{3}-w{3}-w{2}A(-w{3})*$,chromeos_8530.93.0_gnawty_recovery_stable-channel_mp-v3.bin,1535082496,https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_8530.93.0_gnawty_recovery_stable-channel_mp-v3.bin.zip,629420378,01d88431290e3a81d755dd4d04b8c6c1,e0f537ba36846ee16f0e109aa7436cf032127f01
